gs,An,cs,hs,VPD
0.861,15,100,0.6,2.33
0.866,15,105,0.6,2.33
0.852,15,110,0.6,2.33
0.836,15,115,0.6,2.33
0.821,15,120,0.6,2.33
0.819,15,125,0.6,2.33
0.793,15,130,0.6,2.33
0.818,15,135,0.6,2.33
0.802,15,140,0.6,2.33
0.797,15,145,0.6,2.33
0.762,15,150,0.6,2.33
0.78,15,155,0.6,2.33
0.778,15,160,0.6,2.33
0.758,15,165,0.6,2.33
0.753,15,170,0.6,2.33
0.761,15,175,0.6,2.33
0.738,15,180,0.6,2.33
0.731,15,185,0.6,2.33
0.739,15,190,0.6,2.33
0.731,15,195,0.6,2.33
0.737,15,200,0.6,2.33
0.726,15,205,0.6,2.33
0.742,15,210,0.6,2.33
0.71,15,215,0.6,2.33
0.719,15,220,0.6,2.33
0.712,15,225,0.6,2.33
0.729,15,230,0.6,2.33
0.721,15,235,0.6,2.33
0.71,15,240,0.6,2.33
0.691,15,245,0.6,2.33
0.726,15,250,0.6,2.33
0.687,15,255,0.6,2.33
0.714,15,260,0.6,2.33
0.705,15,265,0.6,2.33
0.7,15,270,0.6,2.33
0.711,15,275,0.6,2.33
0.712,15,280,0.6,2.33
0.686,15,285,0.6,2.33
0.71,15,290,0.6,2.33
0.673,15,295,0.6,2.33
0.705,15,300,0.6,2.33
0.69,15,305,0.6,2.33
0.68,15,310,0.6,2.33
0.684,15,315,0.6,2.33
0.687,15,320,0.6,2.33
0.664,15,325,0.6,2.33
0.69,15,330,0.6,2.33
0.691,15,335,0.6,2.33
0.665,15,340,0.6,2.33
0.689,15,345,0.6,2.33
0.674,15,350,0.6,2.33
0.661,15,355,0.6,2.33
0.664,15,360,0.6,2.33
0.68,15,365,0.6,2.33
0.682,15,370,0.6,2.33
0.665,15,375,0.6,2.33
0.656,15,380,0.6,2.33
0.65,15,385,0.6,2.33
0.668,15,390,0.6,2.33
0.669,15,395,0.6,2.33
0.67,15,400,0.6,2.33
0.681,15,405,0.6,2.33
0.676,15,410,0.6,2.33
0.677,15,415,0.6,2.33
0.653,15,420,0.6,2.33
0.68,15,425,0.6,2.33
0.654,15,430,0.6,2.33
0.642,15,435,0.6,2.33
0.649,15,440,0.6,2.33
0.647,15,445,0.6,2.33
0.648,15,450,0.6,2.33
0.668,15,455,0.6,2.33
0.66,15,460,0.6,2.33
0.659,15,465,0.6,2.33
0.642,15,470,0.6,2.33
0.671,15,475,0.6,2.33
0.658,15,480,0.6,2.33
0.652,15,485,0.6,2.33
0.673,15,490,0.6,2.33
0.654,15,495,0.6,2.33
0.651,15,500,0.6,2.33
0.661,15,505,0.6,2.33
0.669,15,510,0.6,2.33
0.645,15,515,0.6,2.33
0.636,15,520,0.6,2.33
0.658,15,525,0.6,2.33
0.652,15,530,0.6,2.33
0.635,15,535,0.6,2.33
0.637,15,540,0.6,2.33
0.636,15,545,0.6,2.33
0.662,15,550,0.6,2.33
0.638,15,555,0.6,2.33
0.646,15,560,0.6,2.33
0.64,15,565,0.6,2.33
0.629,15,570,0.6,2.33
0.663,15,575,0.6,2.33
0.661,15,580,0.6,2.33
0.633,15,585,0.6,2.33
0.641,15,590,0.6,2.33
0.637,15,595,0.6,2.33
0.642,15,600,0.6,2.33
0.635,15,605,0.6,2.33
0.656,15,610,0.6,2.33
0.638,15,615,0.6,2.33
0.635,15,620,0.6,2.33
0.66,15,625,0.6,2.33
0.658,15,630,0.6,2.33
0.652,15,635,0.6,2.33
0.632,15,640,0.6,2.33
0.624,15,645,0.6,2.33
0.627,15,650,0.6,2.33
0.645,15,655,0.6,2.33
0.632,15,660,0.6,2.33
0.645,15,665,0.6,2.33
0.644,15,670,0.6,2.33
0.654,15,675,0.6,2.33
0.628,15,680,0.6,2.33
0.625,15,685,0.6,2.33
0.626,15,690,0.6,2.33
0.636,15,695,0.6,2.33
0.639,15,700,0.6,2.33
0.641,15,705,0.6,2.33
0.622,15,710,0.6,2.33
0.632,15,715,0.6,2.33
0.619,15,720,0.6,2.33
0.641,15,725,0.6,2.33
0.621,15,730,0.6,2.33
0.642,15,735,0.6,2.33
0.625,15,740,0.6,2.33
0.648,15,745,0.6,2.33
0.63,15,750,0.6,2.33
0.617,15,755,0.6,2.33
0.622,15,760,0.6,2.33
0.636,15,765,0.6,2.33
0.649,15,770,0.6,2.33
0.637,15,775,0.6,2.33
0.646,15,780,0.6,2.33
0.621,15,785,0.6,2.33
0.63,15,790,0.6,2.33
0.645,15,795,0.6,2.33
0.616,15,800,0.6,2.33
0.618,15,805,0.6,2.33
0.65,15,810,0.6,2.33
0.638,15,815,0.6,2.33
0.645,15,820,0.6,2.33
0.629,15,825,0.6,2.33
0.641,15,830,0.6,2.33
0.629,15,835,0.6,2.33
0.644,15,840,0.6,2.33
0.631,15,845,0.6,2.33
0.63,15,850,0.6,2.33
0.637,15,855,0.6,2.33
0.614,15,860,0.6,2.33
0.647,15,865,0.6,2.33
0.628,15,870,0.6,2.33
0.639,15,875,0.6,2.33
0.624,15,880,0.6,2.33
0.63,15,885,0.6,2.33
0.638,15,890,0.6,2.33
0.627,15,895,0.6,2.33
0.632,15,900,0.6,2.33
0.62,15,905,0.6,2.33
0.647,15,910,0.6,2.33
0.618,15,915,0.6,2.33
0.645,15,920,0.6,2.33
0.637,15,925,0.6,2.33
0.649,15,930,0.6,2.33
0.624,15,935,0.6,2.33
0.648,15,940,0.6,2.33
0.619,15,945,0.6,2.33
0.634,15,950,0.6,2.33
0.642,15,955,0.6,2.33
0.638,15,960,0.6,2.33
0.63,15,965,0.6,2.33
0.615,15,970,0.6,2.33
0.618,15,975,0.6,2.33
0.64,15,980,0.6,2.33
0.624,15,985,0.6,2.33
0.61,15,990,0.6,2.33
0.644,15,995,0.6,2.33
0.64,15,1000,0.6,2.33
